Season,Show Title,Resturant,City,State,Business ID,Rating,Error,"Chita, Zabaykalsky Krai, Russia",Latitude,Longitude,
2,Route 66,Emma Jeans Holland Burger Cafe,Victorville,California,Emma-Jeans-Holland-Burger-Cafe-Victorville,4.5,170,"Victorville, CA, USA",34.5362184,-117.2927641,
2,Route 66,The Rock Cafe,Stroud,Oklahoma,Rock-Cafe-Stroud,3.5,52,"Stroud, Gloucestershire, UK",51.745734,-2.217758,
2,Route 66,Cafe on the Route,Baxter Springs,Kansas,Cafe-on-the-Route-Baxter-Springs,4.5,17,"Baxter Springs, KS 66713, USA",37.0236759,-94.7355042,
2,Seaside Eats,Evelyns Drive-In,Tiverton,Rhode Island,Evelyns-Drive-In-Tiverton,3,87,"Tiverton,RI,USA,41.625921,-71.213423,
2,Seaside Eats,Hodads,Ocean Beach,California,Hodads-Ocean-Beach,4,3962,"Ocean Beach,CA,USA,32.7494988,-117.2470353,
2,Seaside Eats,Keegans Seafood Grille,Indian Rocks Beach,Florida,Keegans-Seafood-Grille-Indian-Rocks-Beach,4,250,"Indian Rocks Beach, FL, USA",27.8960019,-82.846561,
2,Local Flavor,Clantons Cafe,Vinita,Oklahoma,Clantons-Cafe-Vinita,4,41,"Vinita, OK 74301, USA",36.6386937,-95.1541339,
2,Local Flavor,Mikes Chili Parlor,Seattle,Washington,Mikes-Chili-Parlor-Seattle,3.5,222,"Seattle, WA, USA",47.6062095,-122.3320708,
2,Local Flavor,Duartes Tavern,Pescadero,California,Duartes-Tavern-Pescadero,3.5,828,"Pescadero, CA, USA",37.2551636,-122.3830152,
2,Viewers Choice,Bobbys Hawaiian Style Restaurant,Everett,Washington,Bobbys-Hawaiian-Style-Restaurant-Everett,Closed,Error,"Everett, WA, USA",47.9789848,-122.2020794,
2,Viewers Choice,Ted Peters Famous Smoked Fish,South Pasadena,Florida,Ted-Peters-Famous-Smoked-Fish-South-Pasadena,4,152,"South Pasadena, CA, USA",34.1161196,-118.1503488,
2,Viewers Choice,Psycho Suzies Motor Lounge,Minneapolis,Minnesota,Psycho-Suzies-Motor-Lounge-Minneapolis-2,3.5,Error,"Minneapolis, MN, USA",44.977753,-93.2650108,
2,Real Deal BBQ,Jay Bees Bar-B-Que,Gardena,California,Jay-Bees-Bar-B-Q-Gardena-3,3.5,318,"Gardena, CA, USA",33.8883487,-118.3089624,
2,Real Deal BBQ,Smoque,Chicago,Illinois,Smoque-Chicago,4.5,39,"Chicago, IL, USA",41.8781136,-87.6297982,
2,Real Deal BBQ,BBQ Shack,Paola,Kansas,The-BBQ-Shack-Paola,3.5,12,"Paola,KS,USA,38.572235,-94.879129,
2,Talkin Turkey,Mikes City Diner,Boston,Massachusetts,Mikes-City-Diner-Boston,4,369,"Boston, MA, USA",42.3600825,-71.0588801,
2,Talkin Turkey,Willie Birds Restaurant,Santa Rosa,California,Willie-Birds-Restaurant-Santa-Rosa,3.5,145,"Santa Rosa, CA, USA",38.440429,-122.7140548,
2,Talkin Turkey,Alpine Steakhouse,Sarasota,Florida,Alpine-Steakhouse-Sarasota,3.5,46,"Sarasota, FL, USA",27.3364347,-82.5306527,
2,One of a Kind,JT Farnhams Seafood and Grill,Essex,Massachusetts,JT-Farnhams-Essex-2,3.5,161,"Essex,MA,USA,42.631958,-70.782932,
2,One of a Kind,Joes Gizzard City,Potterville,Michigan,Joes-Gizzard-City-Potterville,3,49,"Potterville, MI, USA",42.6292029,-84.738874,
2,One of a Kind,Grubstake Diner,San Francisco,California,Grubstake-San-Francisco,3.5,893,"San Francisco, CA, USA",37.7749295,-122.4194155,
2,One of a Kind,Los Tapatios,San Jose,California,Los-Tapatios-San-Jose,3,7,"San Jose, CA, USA",37.3382082,-121.8863286,
2,Family Owned,El Indio,San Diego,California,El-Indio-San-Diego,3.5,998,"San Diego, CA, USA",32.715738,-117.1610838,
2,Family Owned,Charlies Diner,Spencer,Massachusetts,Charlies-Diner-Spencer,3.5,23,"Spencer, IA 51301, USA",43.1450748,-95.144318,
2,Family Owned,Paradise Pup,Des Plaines,Illinois,Paradise-Pup-Des-Plaines,4.5,503,"Des Plaines, IL, USA",42.0333623,-87.8833991,
2,Open 24/7,Studio Diner,San Diego,California,Studio-Diner-San-Diego,3.5,1222,"San Diego, CA, USA",32.715738,-117.1610838,
2,Open 24/7,White Palace Grill,Chicago,Illinois,White-Palace-Grill-Chicago,3.5,362,"Chicago, IL, USA",41.8781136,-87.6297982,
2,Open 24/7,The Dining Car and Market,Philadelphia,Pennsylvania,The-Dining-Car-and-Market-Philadelphia,3.5,102,"Philadelphia, PA, USA",39.9525839,-75.1652215,
2,Off the Hook Specials,Schooner or Later,Long Beach,California,Schooner-or-Later-Long-Beach,3.5,1025,"Long Beach, CA, USA",33.7700504,-118.1937395,
2,Off the Hook Specials,Grinders,Kansas City,Missouri,Grinders-Kansas-City,4,306,"Kansas City, MO, USA",39.0997265,-94.5785667,
2,Off the Hook Specials,The Fly Trap,Ferndale,Michigan,The-Fly-Trap-Ferndale,4,508,"Ferndale, MI, USA",42.4605917,-83.1346478,
2,Off the Hook Specials,Gailwood Cook Shack,Chicago,Illinois,Gailwood-Cook-Shack-Chicago,Closed,Error,"Chicago, IL, USA",41.8781136,-87.6297982,
2,Burgers Rings and Fries,Joes Cable Car,San Francisco,California,Joes-Cable-Car-San-Francisco,Closed,Error,"San Francisco, CA, USA",37.7749295,-122.4194155,
2,Burgers Rings and Fries,The Nook,Saint Paul,Minnesota,The-Nook-Saint-Paul,4.5,517,"Saint Paul, MN, USA",44.9537029,-93.0899578,
2,Burgers Rings and Fries,Krazy Jims Blimpy Burger,Ann Arbor,Michigan,Krazy-Jims-Blimpy-Burger-Ann-Arbor,4,234,"Ann Arbor, MI, USA",42.2808256,-83.7430378,
2,The New Jersey Diner Tour,Mustache Bills,Barnegat Light,New Jersey,Mustache-Bills-Diner-Barnegat-Light,4,47,"Barnegat Light, NJ, USA",39.7576202,-74.1062466,
2,The New Jersey Diner Tour,Tick Tock Diner,Clifton,New Jersey,Tick-Tock-Diner-Clifton,3,278,"Clifton, NJ, USA",40.8584328,-74.1637553,
2,The New Jersey Diner Tour,White Manna Hamburgers,Hackensack,New Jersey,White-Manna-Hackensack,4,547,"Hackensack, NJ, USA",40.8859325,-74.0434736,
2,The New Jersey Diner Tour,The Ritz Diner,Livingston,New Jersey,Ritz-Diner-Livingston,2.5,106,"Livingston, West Lothian, UK",55.900708,-3.518068,
2,The New Jersey Diner Tour,Hightstown Diner,Hightstown,New Jersey,Hightstown-Diner-Hightstown,3,44,"Hightstown, NJ 08520, USA",40.2695538,-74.5232089,
2,The New Jersey Diner Tour,Skylark Diner,Edison,New Jersey,Skylark-Diner-Edison,3.5,314,"Edison, NJ, USA",40.5187154,-74.4120953,
2,The New Jersey Diner Tour,Jefferson Diner,Lake Hopatcong,New Jersey,Jefferson-Diner-Lake-Hopatcong,3.5,129,"Lake Hopatcong, New Jersey, USA",40.9503131,-74.6327236,
3,Big Breakfast,Brownstone Diner,Jersey City,New Jersey,Brownstone-Diner-And-Pancake-Factory-Jersey-City,3.5,767,"Jersey City, NJ, USA",40.7281575,-74.0776417,
3,Big Breakfast,39th Street Mamas,Kansas City,Missouri,39th-Street-Mamas-Kansas-City,Closed,Error,"Kansas City, MO, USA",39.0997265,-94.5785667,
3,Big Breakfast,Matts Big Breakfast,Phoenix,Arizona,Matts-Big-Breakfast-Phoenix,4,728,"Phoenix, AZ, USA",33.4483771,-112.0740373,
3,Like Mamma Made,Robertos Mexican Food,Phoenix,Arizona,Robertos-Mexican-Food-Phoenix,4,148,"Phoenix, AZ, USA",33.4483771,-112.0740373,
3,Like Mamma Made,Smokey Valley Truck Stop,Olive Hill,Kentucky,Smokey-Valley-Truck-Stop-Olive-Hill,3.5,22,"Olive Hill, KY 41164, USA",38.3000809,-83.1740654,
3,Like Mamma Made,Sweetie Pies,Saint Louis,Missouri,Sweetie-Pies-Saint-Louis,3.5,19,"Saint Louis, MO, USA",38.6270025,-90.1994042,
3,Regional Favorites,Charlie Parkers,Springfield,Illinois,Charlie-Parkers-Springfield,4,124,"Springfield, MA, USA",42.1014831,-72.589811,
3,Regional Favorites,Tecolote Cafe,Santa Fe,New Mexico,Tecolote-Cafe-Santa-Fe,4,186,"Santa Fe, NM, USA",35.6869752,-105.937799,
3,Regional Favorites,Virginia Diner,Wakefield,Virginia,Virginia-Diner-Wakefield,3.5,62,"Wakefield, West Yorkshire, UK",53.683298,-1.505924,
3,Neighborhood Joints,Thee Pitts Again,Glendale,Arizona,Thee-Pitts-Again-Glendale,3,197,"Glendale, CA, USA",34.1425078,-118.255075,
3,Neighborhood Joints,Iron Barley,Saint Louis,Missouri,Iron-Barley-Eating-Establishment-Saint-Louis,4,275,"Saint Louis, MO, USA",38.6270025,-90.1994042,
3,Neighborhood Joints,Daddypops,Hatboro,Pennsylvania,Daddypops-Hatboro,4,89,"Hatboro, PA, USA",40.1742757,-75.1068388,
3,Neighborhood Joints,The Village Cafe,Richmond,Virginia,The-Village-Cafe-Richmond,3.5,144,"Richmond, VA, USA",37.5407246,-77.4360481,
3,A World of Flavors,Chino Bandido,Phoenix,Arizona,Chino-Bandido-Phoenix,4,830,"Phoenix, AZ, USA",33.4483771,-112.0740373,
3,A World of Flavors,Marietta Diner,Marietta,Georgia,Marietta-Diner-Marietta,4,579,"Marietta, GA, USA",33.952602,-84.5499327,
3,A World of Flavors,YJs Snack Bar,Kansas City,Missouri,YJs-Snack-Bar-Kansas-City,4,100,"Kansas City, MO, USA",39.0997265,-94.5785667,
3,Something Different,Scullys Tavern,Miami,Florida,Scullys-Tavern-Miami,4,117,"Miami, FL, USA",25.7616798,-80.1917902,
3,Something Different,Dots Back Inn,Richmond,Virginia,Dots-Back-Inn-Richmond,4,184,"Richmond, VA, USA",37.5407246,-77.4360481,
3,Something Different,Hillbilly Hot Dogs,Lesage,West Virginia,Hillbilly-Hot-Dogs-Lesage,4.5,47,"Lesage, WV 25537, USA",38.5064731,-82.2984823,
3,American Classics,11th Street Diner,Miami Beach,Florida,11th-Street-Diner-Miami-Beach,3.5,285,"Miami Beach, FL, USA",25.790654,-80.1300455,
3,American Classics,Bobo Drive-In,Topeka,Kansas,Bobos-Drive-In-Topeka,3.5,51,"Topeka, KS, USA",39.0558235,-95.6890185,
3,American Classics,Little Tea Shop,Memphis,Tennessee,Little-Tea-Shop-Memphis,4.5,73,"Memphis, TN, USA",35.1495343,-90.0489801,
3,Real Deal Fast Food,Panini Petes,Fairhope,Alabama,Panini-Petes-Fairhope,4,77,"Fairhope, AL, USA",30.5229719,-87.9033261,
3,Real Deal Fast Food,Joes Farm Grill,Gilbert,Arizona,Joes-Farm-Grill-Gilbert,4,968,"Gilbert, AZ, USA",33.3528264,-111.789027,
3,Real Deal Fast Food,Marias Taco Express,Austin,Texas,Marias-Taco-Express-Austin,3.5,17,"Austin, TX, USA",30.267153,-97.7430608,
3,The Memphis BBQ Tour,Cozy Corner,Memphis,Tennessee,Cozy-Corner-Memphis,4.5,270,"Memphis, TN, USA",35.1495343,-90.0489801,
3,The Memphis BBQ Tour,Leonards BBQ,Memphis,Tennessee,Leonards-Pit-Barbecue-Memphis,3.5,76,"Memphis, TN, USA",35.1495343,-90.0489801,
3,The Memphis BBQ Tour,Marlowes Ribs,Memphis,Tennessee,Marlowes-BBQ-Restaurant-Memphis,4,127,"Memphis, TN, USA",35.1495343,-90.0489801,
3,The Memphis BBQ Tour,Toms Bar-B-Q,Memphis,Tennessee,Toms-Barbecue-and-Deli-Memphis-3,4.5,165,"Memphis, TN, USA",35.1495343,-90.0489801,
3,Comfort Food,Grampas Bakery and Restaurant,Dania Beach,Florida,Grampas-Bakery-and-Restaurant-Dania-Beach,3.5,240,"Dania Beach, FL, USA",26.052311,-80.1439343,
3,Comfort Food,Blue Moon Cafe,Baltimore,Maryland,Blue-Moon-Cafe-Baltimore,4,923,"Baltimore, MD, USA",39.2903848,-76.6121893,
3,Comfort Food,Central City Cafe,Huntington,West Virginia,Central-City-Cafe-Huntington,3.5,5,"Huntington, WV, USA",38.4192496,-82.445154,
3,Comfort Food,Tip Top Cafe,San Antonio,Texas,Tip-Top-Cafe-San-Antonio,3.5,163,"San Antonio, TX, USA",29.4241219,-98.4936282,
3,Where The Locals Go,Matthews Cafeteria,Tucker,Georgia,Matthews-Cafeteria-Tucker,3.5,130,"Tucker, GA, USA",33.8545479,-84.2171424,
3,Where The Locals Go,The Rivershack Tavern,Jefferson,Louisiana,Rivershack-Tavern-Jefferson,4,85,Jefferson,LA,USA,29.966037,-90.15313,-121.7995351
3,Where The Locals Go,Monte Carlo Steak House,Albuquerque,New Mexico,Monte-Carlo-Steak-House-Albuquerque,3.5,95,"Albuquerque, NM, USA",35.0853336,-106.6055534,
3,All Kinds of BBQ,The Joint,New Orleans,Louisiana,The-Joint-New-Orleans,4.5,569,"New Orleans, LA, USA",29.9510658,-90.0715323,
3,All Kinds of BBQ,The Shed,Ocean Springs,Mississippi,The-Shed-Ocean-Springs,4,305,"Ocean Springs, MS, USA",30.4113097,-88.8278057,
3,All Kinds of BBQ,Texas Pride BBQ,Adkins,Texas,Texas-Pride-BBQ-Adkins,3.5,166,"Adkins, TX 78101, USA",29.3930129,-98.2372329,
3,In the Family,Bennys Seafood Restaurant,South Miami,Florida,Bennys-Seafood-Restaurant-Miami-3,3.5,61,"South Miami, FL, USA",25.7050697,-80.2907618,
3,In the Family,Chaps Pit Beef,Baltimore,Maryland,Chaps-Pit-Beef-Baltimore,4,554,"Baltimore, MD, USA",39.2903848,-76.6121893,
3,In the Family,Burger Bar,Roy,Utah,Burger-Bar-Roy,3.5,95,"Roy, 26110 Condorcet, France",44.396775,5.19536,
4,Brain Freeze,Doumars,Norfolk,Virginia,Doumars-Cones-and-Barbeque-Norfolk,4,Error,"Norfolk, VA, USA",36.8507689,-76.2858726,
4,Brain Freeze,Aunt Lenas Creamery,Chandler,Arizona,Aunt-Lenas-Creamery-Chandler,2.5,2,"Chandler, AZ, USA",33.3061605,-111.8412502,
4,Brain Freeze,The Creole Creamery,New Orleans,Louisiana,The-Creole-Creamery-New-Orleans,4.5,40,"New Orleans, LA, USA",29.9510658,-90.0715323,
4,Diners You Sent Me To,Town Talk Diner,Minneapolis,Minnesota,Town-Talk-Diner-Minneapolis,3.5,97,"Minneapolis, MN, USA",44.977753,-93.2650108,
4,Diners You Sent Me To,Blue Plate Diner,Salt Lake City,Utah,Blue-Plate-Diner-Salt-Lake-City,3.5,316,"Salt Lake City, UT, USA",40.7607793,-111.8910474,
4,Diners You Sent Me To,Broadway Diner,Baltimore,Maryland,Broadway-Diner-Baltimore,4,178,"Baltimore, MD, USA",39.2903848,-76.6121893,
4,Bar Food,The Highlander,Atlanta,Georgia,The-Highlander-Atlanta,3.5,248,"Atlanta, GA, USA",33.7489954,-84.3879824,
4,Bar Food,Gumbo Shack,Fairhope,Alabama,The-Gumbo-Shack-Fairhope,3,55,"Fairhope, AL, USA",30.5229719,-87.9033261,
4,Bar Food,Starlite Lounge,Pittsburgh,Pennsylvania,Starlite-Lounge-Pittsburgh,2.5,12,"Pittsburgh, PA, USA",40.4406248,-79.9958864,
4,Burgers and Dogs,The Wienery,Minneapolis,Minnesota,The-Wienery-Minneapolis,4,154,"Minneapolis, MN, USA",44.977753,-93.2650108,
4,Burgers and Dogs,Casino El Camino,Austin,Texas,Casino-El-Camino-Austin,4,771,"Austin, TX, USA",30.267153,-97.7430608,
4,Burgers and Dogs,GandA Restaurant,Baltimore,Maryland,GandA-Restaurant-Baltimore,4,53,"Baltimore, MD, USA",39.2903848,-76.6121893,
4,Where the Locals Eat,Uncle Lous,Memphis,Tennessee,Uncle-Lous-Fried-Chicken-Memphis,4.5,186,"Memphis, TN, USA",35.1495343,-90.0489801,
4,Where the Locals Eat,Captain Chuck A Mucks,Carrolton,Virginia,Captain-Chuck-A-Mucks-Ship-Carrolton,3.5,Error,"Carrollton, TX, USA",32.9756415,-96.8899636,
4,Where the Locals Eat,Dixie Quicks,Omaha,Nebraska,Dixie-Quicks-Omaha,Closed,Error,"Omaha, NE, USA",41.2523634,-95.9979883,
4,Totally Unexpected,Cabbage Town Market,Atlanta,Georgia,Cabbage-Town-Market-Atlanta,Closed,Error,"Atlanta, GA, USA",33.7489954,-84.3879824,
4,Totally Unexpected,The Cove,San Antonio,Texas,The-Cove-San-Antonio,4,685,"San Antonio, TX, USA",29.4241219,-98.4936282,
4,Totally Unexpected,Bryant-Lake Bowl,Minneapolis,Minnesota,Bryant-Lake-Bowl-Minneapolis,3.5,236,"Minneapolis, MN, USA",44.977753,-93.2650108,
4,A Taste of Everywhere,Jamaica Kitchen,Miami,Florida,Jamaica-Kitchen-Miami,4,95,"Miami, FL, USA",25.7616798,-80.1917902,
4,A Taste of Everywhere,Crystal Restaurant,Pittsburgh,Pennsylvania,Crystal-On-Penn-Pittsburgh,3.5,37,"Pittsburgh, PA, USA",40.4406248,-79.9958864,
4,A Taste of Everywhere,Red Iguana,Salt Lake City,Utah,Red-Iguana-Salt-Lake-City,4.5,1353,"Salt Lake City, UT, USA",40.7607793,-111.8910474,
4,Better Than Ever,Colonnade,Atlanta,Georgia,Colonnade-Restaurant-Atlanta,4,225,"Atlanta, GA, USA",33.7489954,-84.3879824,
4,Better Than Ever,Mancis Antique Club,Daphne,Alabama,Mancis-Antique-Club-Daphne,3.5,27,"Daphne, AL, USA",30.6035255,-87.9036047,
4,Better Than Ever,Amatos,Omaha,Nebraska,Amatos-Omaha,3,71,"Omaha, NE, USA",41.2523634,-95.9979883,
4,Big Flavor,Darwells Cafe,Long Beach,Mississippi,Darwells-Cafe-Long-Beach,4.5,137,"Long Beach, CA, USA",33.7700504,-118.1937395,
4,Big Flavor,Brick Oven Pizza,Baltimore,Maryland,Brick-Oven-Pizza-Baltimore,5,1,"Baltimore, MD, USA",39.2903848,-76.6121893,
4,Big Flavor,Victors 1959 Cafe,Minneapolis,Minnesota,Victors-1959-Cafe-Minneapolis,4,336,"Minneapolis, MN, USA",44.977753,-93.2650108,
4,Cookin It Old School,Nadines Restaurant,Pittsburgh,Pennsylvania,Nadines-Pittsburgh,4,45,"Pittsburgh, PA, USA",40.4406248,-79.9958864,
4,Cookin It Old School,Casamentos Restaurant,New Orleans,Louisiana,Casamentos-Restaurant-New-Orleans,4,182,"New Orleans, LA, USA",29.9510658,-90.0715323,
4,Cookin It Old School,Big Mamas Kitchen and Catering,Omaha,Nebraska,Big-Mamas-Kitchen-and-Catering-Omaha,4,126,"Omaha, NE, USA",41.2523634,-95.9979883,
4,Grabbina Sandwich,Moochies Meatballs and More,Salt Lake City,Utah,Moochies-Meatballs-and-More-Salt-Lake-City,4,347,"Salt Lake City, UT, USA",40.7607793,-111.8910474,
4,Grabbina Sandwich,Cemitas Puebla,Chicago,Illinois,Cemitas-Puebla-Chicago,4,791,"Chicago, IL, USA",41.8781136,-87.6297982,
4,Grabbina Sandwich,Tiolis Crazee Burger,San Diego,California,Tiolis-Crazee-Burger-San-Diego,3.5,1319,"San Diego, CA, USA",32.715738,-117.1610838,
4,Traditional Dishes,Donatellis,White Bear Lake,Minnesota,Donatellis-White-Bear-Lake,4,91,"White Bear Lake, MN, USA",45.0853814,-93.0081479,
4,Traditional Dishes,Stoney Creek Inn,Baltimore,Maryland,Stoney-Creek-Inn-Baltimore,3.5,53,"Baltimore, MD, USA",39.2903848,-76.6121893,
4,Traditional Dishes,Alcenias,Memphis,Tennessee,Alcenias-Desserts-and-Preserves-Shop-Memphis,4,60,"Memphis, TN, USA",35.1495343,-90.0489801,
4,Doin Their Own Thing,Lone Star Taqueria,Salt Lake City,Utah,Lone-Star-Taqueria-Salt-Lake-City,4.5,366,"Salt Lake City, UT, USA",40.7607793,-111.8910474,
4,Doin Their Own Thing,Modern Cafe,Minneapolis,Minnesota,Modern-Cafe-Minneapolis,3.5,112,"Minneapolis, MN, USA",44.977753,-93.2650108,
4,Doin Their Own Thing,Brewburgers,Omaha,Nebraska,Brewburgers-Omaha,3,87,"Omaha, NE, USA",41.2523634,-95.9979883,
5,Whats For Breakfast,Surreys Cafe,New Orleans,Louisiana,Surreys-Cafe-and-Juice-Bar-New-Orleans-2,4.5,852,"New Orleans, LA, USA",29.9510658,-90.0715323,
5,Whats For Breakfast,Harrys Roadhouse,Santa Fe,New Mexico,Harrys-Roadhouse-Santa-Fe,4,262,"Santa Fe, NM, USA",35.6869752,-105.937799,
5,Whats For Breakfast,Dor-Stop Restaurant,Pittsburgh,Pennsylvania,Dor-Stop-Restaurant-Pittsburgh,4.5,204,"Pittsburgh, PA, USA",40.4406248,-79.9958864,
5,Real Deal Italian,LoBellos Spaghetti House,Coraopolis,Pennsylvania,LoBellos-Restaurant-Coraopolis,3.5,12,"Coraopolis, PA, USA",40.5184013,-80.1667247,
5,Real Deal Italian,Di Pasquales,Baltimore,Maryland,Di-Pasquales-Italian-Marketplace-Baltimore,4.5,172,"Baltimore, MD, USA",39.2903848,-76.6121893,
5,Real Deal Italian,Pizzeria Luigi,San Diego,California,Pizzeria-Luigi-San-Diego,4,1093,"San Diego, CA, USA",32.715738,-117.1610838,
5,Not What Youd Expect,Sophias Place,Albuquerque,New Mexico,Sophias-Place-Albuquerque,4,163,"Albuquerque, NM, USA",35.0853336,-106.6055534,
5,Not What Youd Expect,Magnolia Cafe,Austin,Texas,Magnolia-Cafe-Austin,3.5,515,"Austin, TX, USA",30.267153,-97.7430608,
