Business ID,Rating
Alpine-Steakhouse-Sarasota,KeyError
JT-Farnhams-Seafood-and-Grill-Essex,KeyError
JT-Farnhams-Seafood-and-Grill-Essex,3
Joes-Gizzard-City-Potterville,KeyError
Grubstake-Diner-San-Francisco,KeyError
Grubstake-Diner-San-Francisco,3
Los-Tapatios-San-Jose,3.5
El-Indio-San-Diego,3.5
Charlies-Diner-Spencer,KeyError
Paradise-Pup-Des-Plaines,KeyError
Studio-Diner-San-Diego,4
White-Palace-Grill-Chicago,4
The-Dining-Car-and-Market-Philadelphia,3.5
Schooner-or-Later-Long-Beach,3.5
Grinders-Kansas-City,4
The-Fly-Trap-Ferndale,4
Gailwood-Cook-Shack-Chicago,3.5
Gailwood-Cook-Shack-Chicago,3
'"''""-Rings-and-Fries*""""-Joe''''s-Cable-Car""''"',KeyError
'"''""-Rings-and-Fries*""""-Joe''''s-Cable-Car""''"',4
"""-Rings-and-Fries*""""-The-Nook""",3.5
"""-Rings-and-Fries*""""-The-Nook""",4
'"''""-Rings-and-Fries*""""-Krazy-Jim''''s-Blimpy-Burger""''"',4
'"''""-Rings-and-Fries*""""-Krazy-Jim''''s-Blimpy-Burger""''"',4
Mustache-Bills-Barnegat-Light,4
Mustache-Bills-Barnegat-Light,4
Tick-Tock-Diner-Clifton,4.5
White-Manna-Hamburgers-Hackensack,3.5
White-Manna-Hamburgers-Hackensack,KeyError
The-Ritz-Diner-Livingston,4.5
The-Ritz-Diner-Livingston,4
Hightstown-Diner-Hightstown,4
Skylark-Diner-Edison,3.5
Jefferson-Diner-Lake-Hopatcong,4.5
Brownstone-Diner-Jersey-City,KeyError
Brownstone-Diner-Jersey-City,KeyError
39th-Street-Mamas-Kansas-City,KeyError
39th-Street-Mamas-Kansas-City,3.5
Matts-Big-Breakfast-Phoenix,4
Robertos-Mexican-Food-Phoenix,3.5
Smokey-Valley-Truck-Stop-Olive-Hill,3.5
Sweetie-Pies-Saint-Louis,3.5
Charlie-Parkers-Springfield,KeyError
Tecolote-Cafe-Santa-Fe,3.5
Virginia-Diner-Wakefield,4.5
Thee-Pitts-Again-Glendale,4
Iron-Barley-Saint-Louis,3.5
Iron-Barley-Saint-Louis,KeyError
Daddypops-Hatboro,4
The-Village-Cafe-Richmond,3.5
Chino-Bandido-Phoenix,KeyError
Marietta-Diner-Marietta,2.5
YJs-Snack-Bar-Kansas-City,4.5
Scullys-Tavern-Miami,3.5
Dots-Back-Inn-Richmond,3.5
Hillbilly-Hot-Dogs-Lesage,4
11th-Street-Diner-Miami-Beach,3.5
Bobo-Drive-In-Topeka,KeyError
Bobo-Drive-In-Topeka,KeyError
Little-Tea-Shop-Memphis,4
Panini-Petes-Fairhope,4
Joes-Farm-Grill-Gilbert,4
Marias-Taco-Express-Austin,KeyError
Cozy-Corner-Memphis,KeyError
Leonards-BBQ-Memphis,KeyError
Leonards-BBQ-Memphis,KeyError
Marlowes-Ribs-Memphis,4
Marlowes-Ribs-Memphis,3.5
Toms-Bar-B-Q-Memphis,KeyError
Toms-Bar-B-Q-Memphis,KeyError
Grampas-Bakery-and-Restaurant-Dania-Beach,4.5
Blue-Moon-Cafe-Baltimore,KeyError
Central-City-Cafe-Huntington,3.5
Tip-Top-Cafe-San-Antonio,3
Matthews-Cafeteria-Tucker,4.5
The-Rivershack-Tavern-Jefferson,5
The-Rivershack-Tavern-Jefferson,4
Monte-Carlo-Steak-House-Albuquerque,KeyError
The-Joint-New-Orleans,4
The-Shed-Ocean-Springs,4
Texas-Pride-BBQ-Adkins,4
Bennys-Seafood-Restaurant-South-Miami,4
Bennys-Seafood-Restaurant-South-Miami,3.5
Chaps-Pit-Beef-Baltimore,4
Burger-Bar-Roy,3.5
Doumars-Norfolk,KeyError
Doumars-Norfolk,4.5
Aunt-Lenas-Creamery-Chandler,3.5
The-Creole-Creamery-New-Orleans,3
Town-Talk-Diner-Minneapolis,KeyError
Blue-Plate-Diner-Salt-Lake-City,KeyError
Broadway-Diner-Baltimore,4.5
The-Highlander-Atlanta,KeyError
Gumbo-Shack-Fairhope,KeyError
Gumbo-Shack-Fairhope,4
Starlite-Lounge-Blawnox,KeyError
Starlite-Lounge-Blawnox,3.5
The-Wienery-Minneapolis,KeyError
Casino-El-Camino-Austin,KeyError
GandA-Restaurant-Baltimore,KeyError
Uncle-Lous-Memphis,KeyError
Uncle-Lous-Memphis,KeyError
Captain-Chuck-A-Mucks-Rescue,3
Captain-Chuck-A-Mucks-Rescue,KeyError
Dixie-Quicks-Omaha,4
Dixie-Quicks-Omaha,KeyError
Cabbage-Town-Market-Atlanta,KeyError
Cabbage-Town-Market-Atlanta,KeyError
The-Cove-San-Antonio,4
Bryant-Lake-Bowl-Minneapolis,4.5
Jamaica-Kitchen-Kendall-Lakes,3.5
Jamaica-Kitchen-Kendall-Lakes,3.5
Crystal-Restaurant-Pittsburgh,KeyError
Crystal-Restaurant-Pittsburgh,3.5
Red-Iguana-Salt-Lake-City,3.5
Colonnade-Atlanta,3.5
Colonnade-Atlanta,3
Mancis-Antique-Club-Daphne,KeyError
Amatos-Omaha,KeyError
Darwells-Cafe-Long-Beach,KeyError
Brick-Oven-Pizza-Baltimore,KeyError
Victors-1959-Cafe-Minneapolis,KeyError
Nadines-Restaurant-Pittsburgh,4
Nadines-Restaurant-Pittsburgh,KeyError
Casamentos-Restaurant-New-Orleans,KeyError
Big-Mamas-Kitchen-and-Catering-Omaha,KeyError
Moochies-Meatballs-and-More-Salt-Lake-City,KeyError
Cemitas-Puebla-Chicago,KeyError
Tiolis-Crazee-Burger-San-Diego,KeyError
Donatellis-White-Bear-Lake,KeyError
Stoney-Creek-Inn-Baltimore,KeyError
Alcenias-Memphis,KeyError
Alcenias-Memphis,KeyError
Lone-Star-Taqueria-Salt-Lake-City,KeyError
Modern-Cafe-Minneapolis,4
Brewburgers-Omaha,4.5
Surrey’s-Cafe-New-Orleans,3
Surrey’s-Cafe-New-Orleans,KeyError
Harry’s-Roadhouse-Santa-Fe,KeyError
Harry’s-Roadhouse-Santa-Fe,KeyError
Dor-Stop-Restaurant-Pittsburgh,KeyError
LoBello’s-Spaghetti-House-Coraopolis,KeyError
LoBello’s-Spaghetti-House-Coraopolis,KeyError
Di-Pasquale’s-Baltimore,3.5
Di-Pasquale’s-Baltimore,3.5
Pizzeria-Luigi-San-Diego,KeyError
Sophia’s-Place-Albuquerque,3.5
Sophia’s-Place-Albuquerque,KeyError
Magnolia-Cafe-Austin,4.5
Glenn’s-Diner-Chicago,KeyError
Glenn’s-Diner-Chicago,KeyError
Ruth’s-Diner-Salt-Lake-City,KeyError
Ruth’s-Diner-Salt-Lake-City,3.5
O’Rourke’s-Diner-Middletown,KeyError
O’Rourke’s-Diner-Middletown,4
Parasol’s-New-Orleans,KeyError
Parasol’s-New-Orleans,KeyError
Tommy’s-Joynt-San-Francisco,KeyError
Tommy’s-Joynt-San-Francisco,4
Joe-Tess-Place-Omaha,KeyError
Big-Jim’s-Pittsburgh,KeyError
Big-Jim’s-Pittsburgh,KeyError
Valencia-Luncheria-Norwalk,3.5
The-Original-Vito-and-Nick’s-Pizzeria-Chicago,4
The-Original-Vito-and-Nick’s-Pizzeria-Chicago,KeyError
Emily’s-Lebanese-Delicatessen-Minneapolis,KeyError
Emily’s-Lebanese-Delicatessen-Minneapolis,KeyError
Pat’s-BBQ-Salt-Lake-City,4
Pat’s-BBQ-Salt-Lake-City,KeyError
Blow-Fly-Inn-Gulfport,4
Tune-Up-Cafe-Santa-Fe,KeyError
Hob-Nob-Hill-San-Diego,KeyError
The-Silver-Skillet-Atlanta,KeyError
Tufano’s-Vernon-Park-Tap-Chicago,KeyError
Tufano’s-Vernon-Park-Tap-Chicago,KeyError
Standard-Diner-Albuquerque,KeyError
Dell-Rheas-Chicken-Basket-Willowbrook,4
Salsa-Brava-Flagstaff,4
Green-Mesquite-Austin,KeyError
Gorilla-BBQ-Pacifica,KeyError
Gorilla-BBQ-Pacifica,KeyError
Wilson’s-Holy-Smoke-BBQ-Fairfield,KeyError
Wilson’s-Holy-Smoke-BBQ-Fairfield,KeyError
Cecilia’s-Cafe-Albuquerque,KeyError
Cecilia’s-Cafe-Albuquerque,KeyError
Joey-K’s-Restaurant-and-Bar-New-Orleans,4
Joey-K’s-Restaurant-and-Bar-New-Orleans,4
Kelly-O’s-Diner-Pittsburgh,KeyError
Kelly-O’s-Diner-Pittsburgh,KeyError
Super-Duper-Weenie-Fairfield,KeyError
California-Tacos-Omaha,KeyError
California-Tacos-Omaha,4.5
Bert’s-Burger-Bowl-Santa-Fe,4.5
Bert’s-Burger-Bowl-Santa-Fe,4
Giusti’s-Walnut-Grove,KeyError
Giusti’s-Walnut-Grove,3.5
Haus-Murphy’s-Glendale,KeyError
Haus-Murphy’s-Glendale,KeyError
Louie’s-Dallas,KeyError
Louie’s-Dallas,3.5
Bizzaro-Cafe-Seattle,4.5
Bizzaro-Cafe-Seattle,2.5
Chef-Point-Cafe-Wautaga,4.5
Chef-Point-Cafe-Wautaga,3.5
Jamie’s-Bar-and-Grill-Sacramento,KeyError
Jamie’s-Bar-and-Grill-Sacramento,KeyError
Bluewater-Seafood-Market-and-Grill-San-Diego,KeyError
Bluewater-Seafood-Market-and-Grill-San-Diego,KeyError
Brandy’s-Restaurant-and-Bakery-Flagstaff,KeyError
Brandy’s-Restaurant-and-Bakery-Flagstaff,KeyError
Kuma’s-Corner-Chicago,KeyError
Kuma’s-Corner-Chicago,KeyError
Bar-Gernika-Boise,KeyError
Cafe-Rolle-Sacramento,KeyError
Havana-Hideout-Lake-Worth,KeyError
"""-A-Bowl-and-a-Slice*""""-La-Piazza-Al-Forno""",KeyError
"""-A-Bowl-and-a-Slice*""""-La-Piazza-Al-Forno""",KeyError
"""-A-Bowl-and-a-Slice*""""-Slim’s-Last-Chance-Chili-Shack-&-Watering-Hole""",KeyError
"""-A-Bowl-and-a-Slice*""""-Slim’s-Last-Chance-Chili-Shack-&-Watering-Hole""",4
"""-A-Bowl-and-a-Slice*""""-Twisted-Root-Beer-Co.""",KeyError
"""-A-Bowl-and-a-Slice*""""-Twisted-Root-Beer-Co.""",4
"""-Bagels-and-BLTs*""""-Arleta-Library""",KeyError
"""-Bagels-and-BLTs*""""-Arleta-Library""",KeyError
"""-Bagels-and-BLTs*""""-Bubba’s-Diner""",4
"""-Bagels-and-BLTs*""""-Bubba’s-Diner""",KeyError
"""-Bagels-and-BLTs*""""-Flakowitz-of-Boynton-Bakery-&-Deli-Restaurant""",KeyError
"""-Bagels-and-BLTs*""""-Flakowitz-of-Boynton-Bakery-&-Deli-Restaurant""",KeyError
Backroad-Pizza-Santa-Fe,3.5
Jamaica-Gates-Caribbean-Cuisine-Arlington,3.5
Chef-Lou’s-Westside-Drive-In-Boise,4
Chef-Lou’s-Westside-Drive-In-Boise,KeyError
Black-Duck-Cafe-Westport,KeyError
Otto’s-Sausage-Kitchen-and-Meat-Market-Portland,4
Otto’s-Sausage-Kitchen-and-Meat-Market-Portland,4.5
Sol-Food-Puerto-Rican-Cuisine-San-Rafael,KeyError
Giuseppe’s-Restaurant-Phoenix,3.5
Giuseppe’s-Restaurant-Phoenix,KeyError
Southern-Kitchen-Restaurant-Tacoma,KeyError
Southern-Kitchen-Restaurant-Tacoma,KeyError
Zia-Diner-and-Angel-Food-Catering-Santa-Fe,KeyError
Zia-Diner-and-Angel-Food-Catering-Santa-Fe,4
Blue-Marlin-Fish-House-Restaurant-North-Miami-Beach,KeyError
Fred’s-Texas-Cafe-Fort-Worth,KeyError
Fred’s-Texas-Cafe-Fort-Worth,KeyError
Pine-State-Biscuits-Portland,KeyError
Georgia-Greek-Restaurant-and-Deli-Seattle,KeyError
Georgia-Greek-Restaurant-and-Deli-Seattle,KeyError
Los-Tacquitos-Grill-Phoenix,4
Los-Tacquitos-Grill-Phoenix,KeyError
Rocco’s-Cafe-San-Francisco,4
Rocco’s-Cafe-San-Francisco,3.5
Blueplate-Lunch-Counter-and-Soda-Fountain-Portland,KeyError
Don’s-Hilltop-Kodiak-Grill-Boise,4
Don’s-Hilltop-Kodiak-Grill-Boise,KeyError
La-Camoronera-Restaurant-and-Fish-Market-Miami,KeyError
La-Camoronera-Restaurant-and-Fish-Market-Miami,KeyError
Dottie’s-True-Blue-Cafe-San-Francisco,KeyError
Dottie’s-True-Blue-Cafe-San-Francisco,KeyError
Over-Easy-Phoenix,KeyError
Comet-Cafe-Milwaukee,KeyError
Polka-Restaurant-and-Catering-Los-Angeles,4
Polka-Restaurant-and-Catering-Los-Angeles,3
Avila’s-Cafe-Dallas,4
Avila’s-Cafe-Dallas,4.5
Mama-Es-Oklahoma-City,4
Mama-Es-Oklahoma-City,KeyError
Bunk-Sandwiches-Portland,KeyError
Sonny’s-Famous-Steak-Hogies-Hollywood,KeyError
Sonny’s-Famous-Steak-Hogies-Hollywood,KeyError
The-Depot-American-Diner-Chicago,KeyError
"""-Tacos-and-Dogs*""""-Lankford-Grocery""",4
"""-Tacos-and-Dogs*""""-Lankford-Grocery""",3.5
"""-Tacos-and-Dogs*""""-Fab-Hot-Dogs""",KeyError
"""-Tacos-and-Dogs*""""-Fab-Hot-Dogs""",4
"""-Tacos-and-Dogs*""""-Cempazuchi""",KeyError
"""-Tacos-and-Dogs*""""-Cempazuchi""",KeyError
Rick’s-Press-Room-and-Grill-Meridian,KeyError
Rick’s-Press-Room-and-Grill-Meridian,KeyError
Nic’s-Grill-Oklahoma-City,4.5
Nic’s-Grill-Oklahoma-City,4
Pam’s-Kitchen-Seattle,KeyError
Pam’s-Kitchen-Seattle,4.5
Prince-Lebanese-Grill-Arlington,4.5
Tre-Kronor-Chicago,KeyError
La-Texanita-Santa-Rosa,KeyError
La-Texanita-Santa-Rosa,KeyError
Podnah’s-Pit-Barbeque-Portland,4
Podnah’s-Pit-Barbeque-Portland,KeyError
Donnie-Mac’s-Trailer-Park-Cuisine-Boise,3
Donnie-Mac’s-Trailer-Park-Cuisine-Boise,3.5
Whale’s-Rib-Deerfield-Beach,4.5
Whale’s-Rib-Deerfield-Beach,KeyError
Eischen’s-Bar-and-Grill-Okarche,KeyError
Eischen’s-Bar-and-Grill-Okarche,KeyError
Mom’s-Tamales-Los-Angeles,KeyError
Mom’s-Tamales-Los-Angeles,KeyError
Kenny-and-Ziggy’s-Houston,KeyError
Kenny-and-Ziggy’s-Houston,4.5
Tap-Tap-Haitian-Restaurant-Miami-Beach,KeyError
Pok-Pok-Portland,4
Niko-Niko’s-Houston,KeyError
Niko-Niko’s-Houston,KeyError
"""-Baked-and-Brined*""""-Honky-Tonk-BBQ""",KeyError
"""-Baked-and-Brined*""""-Honky-Tonk-BBQ""",KeyError
"""-Baked-and-Brined*""""-Pizzalchik""",KeyError
"""-Baked-and-Brined*""""-Pizzalchik""",KeyError
"""-Baked-and-Brined*""""-Lucky’s-Café""",4
"""-Baked-and-Brined*""""-Lucky’s-Café""",KeyError
Cattlemens-Steakhouse-Oklahoma-City,KeyError
Sam-LaGrassas-Boston,KeyError
Nickel-Diner-Los-Angeles,4
Parkview-Nightclub-Cleveland,3
Parkview-Nightclub-Cleveland,4.5
The-Shanty-Wadsworth,KeyError
Grover’s-Bar-and-Grill-East-Amherst,KeyError
Grover’s-Bar-and-Grill-East-Amherst,4
Louis-Family-Restaurant-Providence,4
Louis-Family-Restaurant-Providence,4
Cafe-Pita+-Houston,KeyError
Cafe-Pita+-Houston,KeyError
Mambos-Cafe-Glendale,4
The-Little-Depot-Diner-Peabody,3.5
Santa-Cruz-Diner-Santa-Cruz,KeyError
The-Diner-Norman,KeyError
Lake-Effect-Diner-Buffalo,KeyError
Geraci’s-Restaurant-Cleveland,KeyError
Geraci’s-Restaurant-Cleveland,KeyError
Morin’s-Hometown-Bar-and-Grill-Attleboro,KeyError
Morin’s-Hometown-Bar-and-Grill-Attleboro,3
"""-Steaks-and-Chops*""""-Mr.-Bartley’s-Gourmet-Burgers""",KeyError
"""-Steaks-and-Chops*""""-Mr.-Bartley’s-Gourmet-Burgers""",4
"""-Steaks-and-Chops*""""-T-Bone-Tom’s-Steakhouse""",2.5
"""-Steaks-and-Chops*""""-T-Bone-Tom’s-Steakhouse""",KeyError
"""-Steaks-and-Chops*""""-Tee-Off-Bar-&-Grill""",4
"""-Steaks-and-Chops*""""-Tee-Off-Bar-&-Grill""",3.5
"""-Pork-and-Paprikash*""""-Pizza-Junction""",KeyError
"""-Pork-and-Paprikash*""""-Pizza-Junction""",4
"""-Pork-and-Paprikash*""""-Sterle’s-Slovenian-Country-House""",KeyError
"""-Pork-and-Paprikash*""""-Sterle’s-Slovenian-Country-House""",KeyError
"""-Pork-and-Paprikash*""""-Q-Restaurant""",KeyError
"""-Pork-and-Paprikash*""""-Q-Restaurant""",3
"""-Stuffed-and-Loaded*""""-Bob’s-Taco-Station""",KeyError
"""-Stuffed-and-Loaded*""""-Bob’s-Taco-Station""",KeyError
"""-Stuffed-and-Loaded*""""-Crazy-Burger-Café-&-Juice-Bar""",KeyError
"""-Stuffed-and-Loaded*""""-Crazy-Burger-Café-&-Juice-Bar""",KeyError
"""-Stuffed-and-Loaded*""""-The-Oinkster""",KeyError
"""-Stuffed-and-Loaded*""""-The-Oinkster""",KeyError
Rudy’s-Can’t-Fail-Cafe-Emeryville,KeyError
Rudy’s-Can’t-Fail-Cafe-Emeryville,KeyError
900-Grayson-Restaurant-Berkeley,KeyError
900-Grayson-Restaurant-Berkeley,KeyError
Rick-and-Ann’s-Restaurant-Berkeley,4
Rick-and-Ann’s-Restaurant-Berkeley,KeyError
Taste-of-Peru-Chicago,3.5
Ingrid’s-Kitchen-Oklahoma-City,3.5
Ingrid’s-Kitchen-Oklahoma-City,4
Blackthorn-Restaurant-and-Pub-Buffalo,4
South-21-Drive-In-Charlotte,KeyError
South-21-Drive-In-Charlotte,KeyError
Red-Lion-Pub-and-Restaurant-Houston,KeyError
Red-Lion-Pub-and-Restaurant-Houston,KeyError
Melt-Bar-and-Grilled-Lakewood,4
Pawley’s-Front-Porch-Columbia,4
Pawley’s-Front-Porch-Columbia,4
Sophia-Restaurant-Buffalo,4.5
Sophia-Restaurant-Buffalo,4.5
Bette’s-Oceanview-Diner-Berkeley,4.5
Bette’s-Oceanview-Diner-Berkeley,KeyError
The-Liberty-Elm-Diner-Providence,4
Naglee-Park-Garage-San-Jose,KeyError
Dish-Charlotte,4
Earl’s-Drive-In-Chaffee,KeyError
Earl’s-Drive-In-Chaffee,KeyError
Aldo’s-Harbor-Restaurant-Santa-Cruz,3.5
Aldo’s-Harbor-Restaurant-Santa-Cruz,KeyError
Momocho-Cleveland,4.5
Dish-Cafe-and-Catering-Reno,KeyError
Landmark-Restaurant-Charlotte,KeyError
Landmark-Restaurant-Charlotte,3.5
Pier-23-Cafe-San-Francisco,KeyError
Highway-Inn-and-Ho’okipa-Catering-Waipahu,KeyError
Highway-Inn-and-Ho’okipa-Catering-Waipahu,4
Hank’s-Haute-Dogs-Honolulu,KeyError
Hank’s-Haute-Dogs-Honolulu,3.5
Nico’s-Pier-38-Honolulu,4
Nico’s-Pier-38-Honolulu,KeyError
Germaine’s-Luau-Kapolei,KeyError
Germaine’s-Luau-Kapolei,KeyError
North-End-Cafe-Manhattan-Beach,KeyError
Gold-‘N-Silver-Inn-Reno,KeyError
Gold-‘N-Silver-Inn-Reno,KeyError
Singleton’s-Seafood-Shack-Atlantic-Beach,KeyError
Singleton’s-Seafood-Shack-Atlantic-Beach,KeyError
The-Farmer’s-Shed-Lexington,KeyError
The-Farmer’s-Shed-Lexington,4.5
Poke-Stop-at-Mililana-Mauka-Llc.-Mililani,KeyError
Poke-Stop-at-Mililana-Mauka-Llc.-Mililani,3.5
Mulberry-Cafe-Lackawanna,4
Mulberry-Cafe-Lackawanna,3
Louis’-Basque-Corner-Reno,4.5
Louis’-Basque-Corner-Reno,KeyError
13-Gypsies-Jacksonville,4
Gloria’s-Cafe-Los-Angeles,4
Gloria’s-Cafe-Los-Angeles,4.5
Cafe-Citti-Kenwood,KeyError
Cabo-Fish-Taco-Charlotte,4
Murphy’s-Bar-and-Grill-Honolulu,4.5
Murphy’s-Bar-and-Grill-Honolulu,KeyError
At-Last-Cafe-Long-Beach,KeyError
Virgil’s-Cafe-Bellevue,3.5
Virgil’s-Cafe-Bellevue,KeyError
Martin’s-Bar-B-Que-Joint-Nolensville,4.5
Martin’s-Bar-B-Que-Joint-Nolensville,4
"""-Smoked-and-Sauced*""""-Terry’s-Turf-Club""",KeyError
"""-Smoked-and-Sauced*""""-Terry’s-Turf-Club""",KeyError
"""-Smoked-and-Sauced*""""-Schellville-Grille""",3.5
"""-Smoked-and-Sauced*""""-Schellville-Grille""",KeyError
"""-Smoked-and-Sauced*""""-Jake’s-Good-Eats""",3
"""-Smoked-and-Sauced*""""-Jake’s-Good-Eats""",3.5
Jax-At-The-Trax-Truckee,3.5
Jax-At-The-Trax-Truckee,4
Culhane’s-Irish-Pub-Atlantic-Beach,4
Culhane’s-Irish-Pub-Atlantic-Beach,KeyError
Blue-Ash-Chili-Restaurant-Cincinnati,KeyError
Don-Chow-Tacos-Los-Angeles,KeyError
Rainbow-Drive-In-Honolulu,4.5
Northern-Waters-Smokehaus-Duluth,4
Blackwater-Grill-Saint-Simons-Island,KeyError
Comet-Ping-Pong-Washington-D.C.,KeyError
Comet-Ping-Pong-Washington-D.C.,4
Wallace-Station-Versailles,KeyError
Wallace-Station-Versailles,3.5
Smokin’-Guns-BBQ-North-Kansas-City,KeyError
Smokin’-Guns-BBQ-North-Kansas-City,4
RJ’s-Bob-Be-Que-Shack-Mission,4.5
RJ’s-Bob-Be-Que-Shack-Mission,4.5
Johnny’s-Bar-B-Q-Mission,4.5
Johnny’s-Bar-B-Q-Mission,KeyError
Woodyard-Bar-B-Que-Kansas-City,4
Swagger-Fine-Spirits-and-Food-Kansas-City,4.5
Burger-Me!-Truckee,3.5
Burger-Me!-Truckee,KeyError
Athens-Family-Restaurant-Nashville,3.5
Paul’s-Coffee-Shop-Fountain-Valley,4
Paul’s-Coffee-Shop-Fountain-Valley,4
Rick’s-White-Light-Diner-Frankfort,3.5
Rick’s-White-Light-Diner-Frankfort,4
Gordy’s-Hi-Hat-Cloquet,2.5
Gordy’s-Hi-Hat-Cloquet,KeyError
Arnold’s-Country-Kitchen-Nashville,4
Arnold’s-Country-Kitchen-Nashville,4.5
Southern-Soul-Barbeque-Saint-Simons-Island,KeyError
Maine-Diner-Wells,KeyError
Kramarczuk’s-Minneapolis,KeyError
Kramarczuk’s-Minneapolis,KeyError
Happy-Gillis-Cafe-and-Hangout-Kansas-City,4.5
Hillbilly-Hot-Dogs-Lesage,KeyError
Mama-Cozza’s-Anaheim,4
Mama-Cozza’s-Anaheim,KeyError
Tune-In-Restaurant-Washington-D.C.,KeyError
Tune-In-Restaurant-Washington-D.C.,4
Bob’s-Clam-Hut-Kittery,3.5
Bob’s-Clam-Hut-Kittery,4.5
Greek-Corner-Restaurant-Cambridge,KeyError
Bro’s-Cajun-Cuisine-Nashville,3.5
Bro’s-Cajun-Cuisine-Nashville,4.5
The-General-Store-Silver-Spring,3.5
Parkette-Drive-In-Lexington,3.5
Metro-Diner-Jacksonville,3.5
Al’s-Breakfast-Minneapolis,4
Al’s-Breakfast-Minneapolis,4.5
"""-Dogs-and-Claws*""""-The-Lobster-Shanty""",4
"""-Dogs-and-Claws*""""-The-Lobster-Shanty""",4
"""-Dogs-and-Claws*""""-The-Brick""",4
"""-Dogs-and-Claws*""""-The-Brick""",4
"""-Dogs-and-Claws*""""-Oohh’s-&-Aahh’s-Gourmet-Deli""",KeyError
"""-Dogs-and-Claws*""""-Oohh’s-&-Aahh’s-Gourmet-Deli""",4
J.J.-McBrewster’s-Lexington,KeyError
J.J.-McBrewster’s-Lexington,4
At-Sara’s-Table-Chester-Creek-Cafe-Duluth,4
At-Sara’s-Table-Chester-Creek-Cafe-Duluth,4.5
Cafe-Rakka-Hendersonville,KeyError
Rino’s-Place-East-Boston,3.5
Rino’s-Place-East-Boston,KeyError
The-Blue-Door-Pub-Saint-Paul,KeyError
Bay-Way-Diner-Linden,4
Bay-Way-Diner-Linden,KeyError
"""-Filled-and-Fried*""""-Chaps-Coffee-Co.""",KeyError
"""-Filled-and-Fried*""""-Chaps-Coffee-Co.""",KeyError
"""-Filled-and-Fried*""""-Good-Dog-Bar-&-Restaurant""",4
"""-Filled-and-Fried*""""-Good-Dog-Bar-&-Restaurant""",4.5
"""-Filled-and-Fried*""""-Porthole-Restaurant""",KeyError
